Scientific name,Latitude,Longitude
Ficus,20.94585,-89.64676
Ficus,20.94586,-89.64675
Ficus,20.94585,-89.64676
Ficus,20.94582,-89.64677
Sabal mexicana,20.94576,-89.6468
Ficus,20.94573,-89.64682
Ficus,20.94572,-89.64682
Ficus,20.94569,-89.6468
Citrus aurantium,20.94581,-89.64684
Citrus aurantium,20.94579,-89.64687
Citrus aurantium,20.94572,-89.64688
Bursera simaruba,20.94562,-89.6468
Bursera simaruba,20.9456,-89.64663
Terminalia catappa,20.9455,-89.64631
Terminalia catappa,20.94545,-89.64623
Maclura tinctoria,20.94539,-89.64619
Samanea saman,20.94505,-89.64276
Terminalia catappa,20.94522,-89.64268
Bursera simaruba,20.94523,-89.64268
Terminalia catappa,20.94527,-89.64273
Samanea saman,20.94528,-89.64281
Thevetia peruviana,20.9453,-89.6428
Lonchocarpus punctatus,20.94556,-89.64274
Plumeria rubra,20.94567,-89.64281
Thevetia peruviana,20.94549,-89.64291
Tamarindus indica,20.94551,-89.64289
Samanea saman,20.94549,-89.64289
Ehretia tinifolia,20.9454,-89.64294
Brosimum alicastrum,20.96868,-89.61597
Brosimum alicastrum,20.9687,-89.61617
Terminalia catappa,20.96863,-89.61617
Terminalia catappa,20.9685,-89.61617
Adonidia merrilli,20.96845,-89.61622
Tabebuia rosea,20.96837,-89.61623
Delonix regia,20.96821,-89.61626
Adonidia merrilli,20.9682,-89.61627
Delonix regia,20.96814,-89.61633
Delonix regia,20.96812,-89.61632
Delonix regia,20.96811,-89.61628
Adonidia merrilli,20.96808,-89.61633
Adonidia merrilli,20.96807,-89.61635
Delonix regia,20.96805,-89.61635
Thrinax radiata,20.96799,-89.61637
Terminalia catappa,20.96797,-89.61637
Cordia dodecandra,20.96794,-89.61633
Brosimum alicastrum,20.96784,-89.61634
Ficus macrocarpa,20.96781,-89.61639
Araucaria,20.96799,-89.61653
Adonidia merrilli,20.96799,-89.61655
Albizia lebbeck,20.96804,-89.61662
Adonidia merrilli,20.96808,-89.61653
Adonidia merrilli,20.96809,-89.61652
Tabebuia rosea,20.96809,-89.61653
Brosimum alicastrum,20.96816,-89.61659
Adonidia merrilli,20.96819,-89.61655
Brosimum alicastrum,20.96822,-89.61656
Roystonea regia,20.96831,-89.61659
Brosimum alicastrum,20.9684,-89.61655
Thrinax radiata,20.9685,-89.61652
Adonidia merrilli,20.9685,-89.61652
Thrinax radiata,20.96852,-89.61651
Roystonea regia,20.96852,-89.61652
Delonix regia,20.96852,-89.61652
Araucaria excelsa,20.96857,-89.61649
Terminalia catappa,20.96862,-89.61651
Araucaria excelsa,20.96863,-89.61645
Delonix regia,20.96877,-89.61646
Delonix regia,20.96878,-89.61644
Brosimum alicastrum,20.96879,-89.61634
Terminalia catappa,20.96876,-89.61626
Cordia dodecandra,20.96877,-89.61623
Ficus macrocarpa,20.96145,-89.61796
Ficus macrocarpa,20.96146,-89.61795
Terminalia catappa,20.96142,-89.61796
Ficus macrocarpa,20.96134,-89.61797
Ficus macrocarpa,20.96122,-89.61797
Beaucarnea,20.96124,-89.61806
Coccoloba uvifera,20.96129,-89.61811
Albizia lebbeck,20.96131,-89.61813
Ceiba pentandra,20.96132,-89.61815
Araucaria,20.96132,-89.61819
Psidium guajava,20.96131,-89.6182
Terminalia catappa,20.96132,-89.61823
Terminalia catappa,20.96131,-89.61826
Araucaria,20.96137,-89.61819
Piscidia piscipula,20.96146,-89.61813
Muntingia calabura,20.96147,-89.61811
Psidium guajava,20.96148,-89.61808
Delonix regia,20.9615,-89.61811
Ceiba pentandra,20.96163,-89.61827
Citrus aurantium,20.96162,-89.61823
Citrus aurantium,20.9616,-89.61818
Delonix regia,20.96156,-89.61814
Ficus macrocarpa,20.96158,-89.61805
Ficus macrocarpa,20.96157,-89.61798
Citrus aurantium,20.96154,-89.61796
Roystonea regia,20.96844,-89.62238
Terminalia catappa,20.96845,-89.62238
Roystonea regia,20.96844,-89.62238
Terminalia catappa,20.9685,-89.62242
Roystonea regia,20.96846,-89.6224
Terminalia catappa,20.96848,-89.62233
Roystonea regia,20.96852,-89.62233
Terminalia catappa,20.96854,-89.62235
Terminalia catappa,20.96863,-89.62271
Terminalia catappa,20.9686,-89.62272
Terminalia catappa,20.96849,-89.62279
Dypsis lutescens,20.96846,-89.6227
Dypsis lutescens,20.96848,-89.62267
Dypsis lutescens,20.96849,-89.62267
Dypsis lutescens,20.9685,-89.62269
Dypsis lutescens,20.96844,-89.62264
Dypsis lutescens,20.96841,-89.62226
Dypsis lutescens,20.96842,-89.6226
Dypsis lutescens,20.96839,-89.6226
Dypsis lutescens,20.96839,-89.62257
Dypsis lutescens,20.96842,-89.62259
Dypsis lutescens,20.96837,-89.62248
Dypsis lutescens,20.96836,-89.62247
Thrinax radiata,20.96842,-89.62248
Dypsis lutescens,20.96838,-89.62245
Dypsis lutescens,20.96848,-89.62241
Sabal mexicana,20.9685,-89.62241
Dypsis lutescens,20.96851,-89.62244
Dypsis lutescens,20.96855,-89.62265
Dypsis lutescens,20.96854,-89.62263
Dypsis lutescens,20.96855,-89.62265
Dypsis lutescens,20.96858,-89.6227
Dypsis lutescens,20.96862,-89.62254
Sabal mexicana,20.96857,-89.62274
Dypsis lutescens,20.96865,-89.62272
Dypsis lutescens,20.96869,-89.62266
Roystonea regia,20.96872,-89.62273
Roystonea regia,20.96873,-89.62271
Roystonea regia,20.96874,-89.62273
Roystonea regia,20.96873,-89.62277
Samanea saman,20.96904,-89.62265
Dypsis lutescens,20.96905,-89.62259
Roystonea regia,20.96897,-89.62251
Dypsis lutescens,20.96898,-89.62252
Sabal mexicana,20.96897,-89.6225
Roystonea regia,20.96914,-89.62253
Roystonea regia,20.96911,-89.62253
Dypsis lutescens,20.9691,-89.62248
Sabal mexicana,20.9691,-89.62247
Adonidia merrilli,20.96907,-89.62251
Adonidia merrilli,20.96904,-89.62247
Adonidia merrilli,20.96909,-89.62247
Adonidia merrilli,20.96909,-89.6225
Dypsis lutescens,20.96915,-89.62257
Roystonea regia,20.96916,-89.62254
Roystonea regia,20.96918,-89.6226
Roystonea regia,20.96922,-89.62246
Samanea saman,20.96919,-89.62259
Roystonea regia,20.9691,-89.62275
Samanea saman,20.96913,-89.62249
